MaintenanceWorkOrderActivity,Date,WODescription,AssetDescription,ControlLoopID,FunctionalLocation,ISO14224FailureModeCode,WOOrderType,ActualCost,WorkHours
WO_20170522_SCE 02140_1,2017-05-22,A Clave HPN2 valve actuator loose,SCE 02140H HP N2 Feed to ACX1 Vlv,CL02140,SCE 02140,ERO,PM03,129,2
WO_20180719_SCE 02764_2,2018-07-19,H11 DNE Install j/bury valves w/ trial p,SCE 02764 ACX1 Bottom Disch Jbury Vlv,CL02764,SCE 02764,UNK,PM01,7901,0
WO_20181107_SCE 02764_3,2018-11-07,H14 JDI Flocontrol Jamesbury valves,SCE 02764 ACX1 Bottom Disch Jbury Vlv,CL02764,SCE 02764,UNK,PM01,1457,6
WO_20170410_SCE 02765_4,2017-04-10,remove / replace faulty sensor,SCE 02765 ACX1 Top Disch Jbury Vlv,CL02765,SCE 02765,UNK,PM03,577,1
WO_20170422_SCE 02765_5,2017-04-22,A clave top j/bury siezed,SCE 02765 ACX1 Top Disch Jbury Vlv,CL02765,SCE 02765,FTO,PM03,49,1
WO_20180322_SCE 02765_6,2018-03-22,Top jamesbury sensor U/S,SCE 02765 ACX1 Top Disch Jbury Vlv,CL02765,SCE 02765,UNK,PM03,133,1
WO_20180423_SCE 02766_7,2018-04-23,H11 SCE A Clave Steam C/V in Piperack,SCE 02766 ACX1 Temp Ctrl,CL02766,SCE 02766,UNK,PM01,7255,35
WO_20170120_SCE 02767_8,2017-01-20,H13 High level over ride I/C,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767,FTI,PM03,13,0.5
WO_20170215_SCE 02767_9,2017-02-15,H13 Calibrate A clave radiation sw,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767,AIR,PM03,1549,2
WO_20170510_SCE 02767_10,2017-05-10,H13 TAR Replace A Clave high level detec,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767,UNK,PM01,7350,7.5
WO_20170810_SCE 02767_11,2017-08-10,E21 HAZ A Clave High Level false reading,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767,AIR,PM03,187,2
WO_20180727_SCE 02767_12,2018-07-27,Haz-A Clave High Level Overide on,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767,AIR,PM03,0,1
WO_20181031_SCE 02767_13,2018-10-31,A Clave Hi Level Alarm,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767,AIR,PM03,6408,1
WO_20170703_SCE 02767_14,2017-07-03,H11 TAR Setup/calibrate A clave level sw,SCE 02767 ACX1 Level Hi,CL02767,SCE 02767 ,AIR,PM01,0,0
WO_20170420_SCE 02773_15,2017-04-20,H11 Drill out blocked tapping point,SCE 02773 ACX1 Press 1,CL02773,SCE 02773,PLU,PM03,1481,5.5
WO_20171227_SCE 02773_16,2017-12-27,Hazard PIO-2774 PTP Blocked,SCE 02773 ACX1 Press 1,CL02773,SCE 02773,PLU,PM03,109,0.5
