Experiment,1,2,3
No. of rows analysed,66,66,66
Rows with missing/non-compliant/unsupported code,33,33,
Rows with FMEA FM code provided,,,54
Non-compliant rows,,,25
FM code not in the ISO 14224 FM code list,2,2,2
FM code not permitted for resolved equipment class,19,19,5
Missing ISO 14224 failure mode code,12,12,12
Missing/ unrecognised ISO equipment class,,,18
FM code is valid in ISO 14224 but not shown for equipment class 'Control logic units' in Table B.9,2,2,
FM code is valid in ISO 14224 but not shown for equipment class 'Input devices' in Table B.9,14,14,
FM code is valid in ISO 14224 but not shown for equipment class 'Valves' in Table B.9,3,3,3
