Source,ISO14224 Equipment Class,Common Worksheet Abbrev,Permitted FM Codes
ISO 14224:2006 Annex B Tables B.6-B.12,Blowout preventer,BOP,"AIR, ELU, ERO, FCO, FTC, FTD, FTF, FTO, INL, LCP, LOR, OTH, PLU, POD, SER, SPO, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Combustion engine,CE,"AIR, BRD, ELF, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, SER, STD, STP, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Compressor,CO,"AIR, BRD, ELP, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, PLU, SER, STD, STP, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Control logic units,CL,"ERO, FTF, HIO, LOO, OTH, SER, SPO, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Cranes,CR,"AIR, BRD, FCO, FRO, FTI, FTS, LOA, NOI, OHE, OTH, PDE, PTF, SER, SLP, SPO, STD, STP, UNK, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,DHSV,DHSV,"CLW, FTC, FTO, LCP, OTH, PCL, UNK, WGL"
ISO 14224:2006 Annex B Tables B.6-B.12,Electric generator,EG,"AIR, BRD, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, PLU, SER, STD, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Electric motor,EM,"AIR, BRD, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, SER, STD, STP, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Fire detectors,FD,"ERO, FTF, HIO, LOO, NOO, OTH, SER, SHH, SLL, SPO, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Gas detectors,GD,"HIO, LOO, NOO, OTH, SER, SHH, SLL, SPO, UNK, VLO"
ISO 14224:2006 Annex B Tables B.6-B.12,Gas turbine,GT,"AIR, BRD, ELF, ELP, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, PLU, SER, STD, STP, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Heat exchangers,HE,"AIR, ELP, ELU, IHT, INL, NOI, OHE, OTH, PDE, PLU, SER, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Heaters and boilers,HB,"AIR, ELP, ELU, IHT, INL, NOI, OHE, OTH, PDE, PLU, SER, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Input devices,ID,"ELP, ELU, ERO, FTF, HIO, LOO, NOO, OTH, SER, SPO, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Piping,PI,"AIR, ELP, ELU, INL, NOI, OHE, OTH, PDE, PLU, SER, STD, UNK, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Power transformers,PT,"AIR, ELU, FOV, FTF, INL, OHE, OTH, PDE, PLU, SER, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Pump,PU,"AIR, BRD, ELP, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, PLU, SER, STD, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Risers,RI,"ELP, ELU, INL, OTH"
ISO 14224:2006 Annex B Tables B.6-B.12,Steam turbine,ST,"AIR, BRD, ELP, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, PLU, SER, STD, STP, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Subsea control systems,SCS,"AIR, ELP, ELU, FTF, INL, LOR, NON, OTH, PLU, POW, SPO"
ISO 14224:2006 Annex B Tables B.6-B.12,Subsea pumps,SP,"AIR, ELP, ELU, FTF, HIO, INL, LOO, OTH, SPO"
ISO 14224:2006 Annex B Tables B.6-B.12,Swivels,SW,"AIR, ELP, ELU, FCO, FDC, FTI, INL, LBP, OTH, PDE, PLU, SER, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Top drive,TD,"AIR, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, SER, SPO, STP, UNK, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Turbo expander,TE,"AIR, BRD, ELP, ELU, ERO, FTS, HIO, INL, LOO, NOI, OHE, OTH, PDE, PLU, SER, STD, UNK, UST, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Turrets,TU,"AIR, FCO, FDC, FTI, LOB, MOF, OTH, PDE, PTF, SER, SPO, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,UPS,UPS,"ERO, FOF, FOV, FTF, LOR, OHE, OTH, PDE, SER, SPO, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Valves,VA,"AIR, DOP, ELP, ELU, FTC, FTO, HIO, INL, LCP, LOO, OTH, PLU, SER, SPO, STD, UNK"
ISO 14224:2006 Annex B Tables B.6-B.12,Vessels,VE,"AIR, ELP, INL, LBP, LOB, LOO, MOF, NOI, OHE, OTH, PDE, PLU, PTF, SER, STD, UNK, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Winches,WI,"AIR, BRD, FRO, FTI, FTS, LOA, NOI, OHE, OTH, PDE, PTF, SER, SLP, SPO, STD, STP, UNK, VIB"
ISO 14224:2006 Annex B Tables B.6-B.12,Xmas trees,XT,"ELP, ELU, FTC, FTL, FTO, INL, LOB, NON, OTH, PLU, POW, SET, SPO, STD"
