ISO14224_FailureModeCode,ISO14224_FailureMode,Input devices,Control logic units,Valves,ISO14224_FailureMode_Description
AIR,Abnormal instrument reading,,,1,"False alarm, faulty instrument indication"
BRD,Breakdown,,,,"Serious damage (Seizure, breakage)"
DOP,Delayed operation,,,1,Delayed response to commands
ELP,External leakage - process medium,1,,1,"Oil, gas condensate, water"
ELU,External leakage - utility medium,1,,1,"Lubricant, cooling water"
ERO,Erratic output,1,1,,"Oscillating, hunting, instability"
FTC,Failure to close on demand,,,1,Doesn't close on demand
FTF,Failure to function on demand,1,1,,Failure to repond on signal/ activation
FTO,Failure to open on demand,,,1,Doesn't open on demand
HIO,High output,1,1,1,Overspeed / output above acceptance
IHT,Insufficient heat transfer,,,1,Cooling/ heating below acceptance
LCP,Leakage in closed position,,,1,Leak through valve in closed position
LOO,Low output,1,1,1,Delivery / output below acceptanace
NOI,Noise,,,1,Abnormal noise
NOO,No output,1,,,No output
OTH,Other,1,,1,Failure modes not covered above
PLU,Plugged / choked,,,1,Flow restriction(s)
SER,Minor in-service problems,1,1,1,Loose items discoloration dirt
SPO,Spurious operation,1,1,1,Unexpected operation
STD,Structural deficiency,,,1,"Material damages (Crakcs, wear, fracture, corrosion)"
UNK,Unknown,1,1,1,Too little information to define a failure mode
VIB,Vibration,,,1,Vibration
